College or Institution Type,Campus,Campus Website,Address,City,State,Zip,Latitude,Longitude,Location
Senior Colleges,Baruch College,http://baruch.cuny.edu,151 East 25th Street,New York,NY,10010-2313,40.740977,-73.984252,"(40.740977, -73.984252)"
Senior Colleges,Brooklyn College,http://brooklyn.edu,2900 Bedford Avenue,Brooklyn,NY,11210-2850,40.630276,-73.955545,"(40.630276, -73.955545)"
Community Colleges,Borough of Manhattan Community College,http://bmcc.cuny.edu,199 Chambers Street,New York,NY,10007-1044,40.717367,-74.012178,"(40.717367, -74.012178)"
Community Colleges,Bronx Community College,http://bcc.cuny.edu,2155 University Avenue,Bronx,NY,10453,40.856673,-73.910127,"(40.856673, -73.910127)"
Senior Colleges,The City College of New York,http://ccny.cuny.edu,160 Convent Avenue,New York,NY,10031-9101,40.819548,-73.949518,"(40.819548, -73.949518)"
Graduate Colleges,CUNY School of Law,http://law.cuny.edu,2 Court Square,Long Island City,NY,11101-4356,40.747639,-73.943676,"(40.747639, -73.943676)"
Graduate Colleges,The Graduate School and University Center,http://gc.cuny.edu,365 5th Avenue,New York,NY,10016-4309,40.748724,-73.984205,"(40.748724, -73.984205)"
Senior Colleges,Hunter College,http://hunter.cuny.edu,695 Park Avenue,New York,NY,10065-5024,40.768731,-73.964915,"(40.768731, -73.964915)"
Community Colleges,Hostos Community College,http://hostos.cuny.edu,500 Grand Concourse,Bronx,NY,10451-5323,40.817828,-73.926862,"(40.817828, -73.926862)"
Senior Colleges,John Jay College of Criminal Justice,http://jjay.cuny.edu,445 West 59th Street,New York,NY,10019-1104,40.769939,-73.986469,"(40.769939, -73.986469)"
Community Colleges,Kingsborough Community College,http://kbcc.cuny.edu,2001 Oriental Boulevard,Brooklyn,NY,11235-2333,40.578349,-73.934465,"(40.578349, -73.934465)"
Senior Colleges,Lehman College,http://lehman.cuny.edu,250 Bedford Park Boulevard West,Bronx,NY,10468-1527,40.873442,-73.889361,"(40.873442, -73.889361)"
Community Colleges,LaGuardia Community College,http://lagcc.cuny.edu,31-10 Thomson Avenue,Long Island City,NY,11101-3007,40.743951,-73.935154,"(40.743951, -73.935154)"
Comprehensive Colleges,Medgar Evers College,http://mec.cuny.edu,1650 Bedford Avenue,Brooklyn,NY,11225-2010,40.66624,-73.957349,"(40.66624, -73.957349)"
Comprehensive Colleges,New York City College of Technology,http://citytech.cuny.edu,300 Jay Street,Brooklyn,NY,11201-1909,40.695507,-73.987882,"(40.695507, -73.987882)"
Community Colleges,Queensborough Community College,http://qcc.cuny.edu,225-05 56th Avenue,Bayside,NY,11364-1497,40.744988,-73.816444,"(40.744988, -73.816444)"
Senior Colleges,Queens College,http://qc.cuny.edu,65-30 Kissena Blvd,Flushing,NY,11367-1597,40.736316,-73.820035,"(40.736316, -73.820035)"
Comprehensive Colleges,College of Staten Island,http://csi.cuny.edu,2800 Victory Boulevard,Staten Island,NY,10314-6609,40.608648,-74.153563,"(40.608648, -74.153563)"
Senior Colleges,York College,http://york.cuny.edu,94-20 Guy R. Brewer Boulevard,Jamaica,NY,11451-0001,40.702821,-73.795776,"(40.702821, -73.795776)"
Community Colleges,Guttman Community College,http://ncc.cuny.edu,50 West 40th Street,New York,NY,10018-2602,40.752846,-73.984133,"(40.752846, -73.984133)"
Graduate Colleges,School of Professional Studies,http://sps.cuny.edu,101 West 31st Street,New York,NY ,10001,40.748151,-73.989723,"(40.748151, -73.989723)"
Graduate Colleges,School of Journalism,http://journalism.cuny.edu,219 West 40th Street,New York,NY,10018,40.755343,-73.988846,"(40.755343, -73.988846)"