Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
The Cotton Club,1984,The%20Cotton%20Club,,,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/,E. 6th St. between First Ave. & Ave. A<br>East Village<br>Manhattan,40.72597413,-73.9851898,Manhattan,East Village,N/A,Film,http://imdb.com/title/tt0087089/,6th St. between 1st Ave and Avenue A,Mentioned in Medjuck quote p181,Y,,,N
The Cowboy Way,1994,The%20Cowboy%20Way,TheCowboyWay_pf,Courtesy of Photofest,Directed by,Gregg Champion,http://imdb.com/name/nm0150707/,Manhattan Bridge,40.70940164,-73.99183095,Manhattan,Lower Manhattan,Chases,Film,http://www.imdb.com/title/tt0109493/,Manhattan Bridge,,Y,83,,Y
The Devil's Advocate,1997,The%20Devil%27s%20Advocate,TheDevilsAdvocate_pf,Courtesy of Photofest,Directed by,Taylor Hackford,http://www.imdb.com/name/nm0000431/,Chinatown<br>Manhattan,40.71500487,-73.99886906,Manhattan,Chinatown,Rooftops,Film,http://www.imdb.com/title/tt0118971/,Chinatown,Additional image p233,Y,226,,Y
The Fisher King,1991,The%20Fisher%20King,TheFisherKing_pf,Courtesy of Photofest,Directed by,Terry Gilliam,http://imdb.com/name/nm0000416/,Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.75270258,-73.97726655,Manhattan,Midtown,New York Landmarks,Film,http://www.imdb.com/title/tt0101889/,Grand Central Station - 42nd Street,,Y,170-171,,Y
The French Connection,1971,The%20French%20Connection,TheFrenchConnection_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/,Bay 50th St. Station<br>Brooklyn,40.58860227,-73.9837575,Brooklyn,Brooklyn,Chases,Film,http://www.imdb.com/title/tt0067116/,86th Street from Bay 50th St. Station to 62nd St Station,Additional image on p61,Y,84-85,,Y
The Godfather Part II,1974,The%20Godfather%20Part%20II,TheGodfatherpartII_ec,"Courtesy of Everett Collection, Inc.",Directed by,Francis Ford Coppola,http://www.imdb.com/name/nm0000338/,E. 6th St. and Ave. A<br>East Village<br>Manhattan,40.72539684,-73.98378432,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0071562/,,,Y,149,,Y
The Honeymooners,1955-1956,The%20Honeymooners,TheHoneymooners_ec,"Courtesy of Everett Collection, Inc.",Directed by,Frank Satenstein,http://imdb.com/name/nm0766129/,358 Chauncy St.<br>Bensonhurst<br>Brooklyn,40.681501,-73.918753,Brooklyn,Brooklyn,N/A,TV,http://www.imdb.com/title/tt0042114/,"358 Chauncy Street, Bensonhurst",,Y,254-255,,Y
The Hours,2002,The%20Hours,TheHours_ec,"Courtesy of Everett Collection, Inc.",Directed by,Stephen Daldry,http://imdb.com/name/nm0197636/,W. 14th St. and Hudson St.<br>West Village<br>Manhattan,40.74059157,-74.00546193,Manhattan ,West Village,N/A,Film,http://imdb.com/title/tt0274558/,Greenwich Village flower shop,,Y,243,,Y
The Interpreter,2005,The%20Interpreter,TheInterpreter3_ec,"Courtesy of Everett Collection, Inc.",Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/,United Nations<br>First Ave. and E. 45th St.<br>Manhattan,40.75067069,-73.96795392,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0373926/,United nations,2 other pix,Y,216-217,,Y
The Landlord,1970,The%20Landlord,TheLandlord2_pf,Courtesy of Photofest,Directed by,Hal Ashby,http://imdb.com/name/nm0000797/,51 Prospect Pl.<br>Brooklyn,40.67962098,-73.9760381,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0065963/,"51 Prospect Place, off Sixth Avenue",poor quality,Y,172-173,,Y
The Landlord,1970,The%20Landlord,TheLandlord_pf,Courtesy of Photofest,Directed by,Hal Ashby,http://imdb.com/name/nm0000797/,51 Prospect Pl.<br>Brooklyn,40.679728,-73.975974,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0065963/,"51 Prospect Place, off Sixth Avenue",poor quality,Y,172-173,,Y
The Late Show with David Letterman,1993-?,The%20Late%20Show%20with%20David%20Letterman,,,Directed by,"Jerry Foley,Randi Grossack,(more)","http://imdb.com/name/nm0284159/,http://www.imdb.com/name/nm0343522/,http://www.imdb.com/title/tt0106053/fullcredits#directors",Ed Sullivan Theatre<br>1697 Broadway<br>Manhattan,40.763719,-73.982833,Manhattan,Midtown,N/A,TV,http://www.imdb.com/title/tt0106053/,1697 Broadway,,Y,264,,N
The Lost Weekend,1945,The%20Lost%20Weekend,,,Directed by,Billy Wilder,http://imdb.com/name/nm0000697/,Third Ave. from E. 55th to 110th St.<br>Upper East Side to E. Harlem<br>Manhattan,40.759,-73.9685,Manhattan,Upper East Side,N/A,Film,http://imdb.com/title/tt0037884/,"Third Avenue from 55th to 110th Street,",,Y,32,,N
The Naked City,1948,The%20Naked%20City,TheNaked_City_01_pf,Courtesy of Photofest,Directed by,Jules Dassin,http://imdb.com/name/nm0202088/,Williamsburg Bridge<br>Brooklyn,40.71132094,-73.96457434,Brooklyn,Brooklyn,N/A,Film,http://imdb.com/title/tt0040636/,Williamsburg Bridge,We have another photo,Y,34,,Y
The Night They Raided Minsky's ,1968,The%20Night%20They%20Raided%20Minsky%27s%20,TheNightTheyRaided_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/,"E. 26th St. near Second Ave.<br>Manhattan
",40.739701,-73.978935,Manhattan,Midtown,Historic Recreations,Film,http://www.imdb.com/title/tt0063348/,26th Street bet First and Second Aves.,,Y,148,,Y
The Out-of-Towners,1970,The%20Out%2Dof%2DTowners,TheOutofTowners_pf,Courtesy of Photofest,Directed by,Arthur Hiller,http://imdb.com/name/nm0002137/,Central Park<br>Manhattan,40.78970474,-73.96065831,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0066193/,Central Park,poor quality,Y,144,,Y
The Panic in Needle Park,1971,The%20Panic%20in%20Needle%20Park,ThePanicinNeedlePark_pf,Courtesy of Photofest,Directed by,Jerry Schatzberg,http://imdb.com/name/nm0770234/,W. 72nd St. and Broadway<br>Upper West Side<br>Manhattan,40.7788,-73.9821,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0067549/,72nd street and Broadway,poor quality,Y,218-219,,Y
The Pawnbroker,1965,The%20Pawnbroker,,,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/,Park Ave. and E. 116th St.<br>Harlem<br>Manhattan,40.79935,-73.94325,Manhattan,Harlem,N/A,Film,http://imdb.com/title/tt0059575/,Park Avenue and 116th Street,,Y,50,,N
The Pickle ,1993,The%20Pickle%20,ThePickle_pf,Courtesy of Photofest,Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/,Brighton Beach Boardwalk<br>Brooklyn,40.57488865,-73.96376431,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0107824/,Brighton Beach Boardwalk,JAMES CROSSED OUT,N,,,Y
The Pick-Up Artist,1984,The%20Pick%2DUp%20Artist,,,Directed by,James Toback,http://imdb.com/name/nm0864812/,Columbus Ave. near W. 75th St.<br>Upper West Side<br>Manhattan,40.7794,-73.9774,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0093737/,Columbus Ave near 75th Street,Additional image p247,Y,222,,N
The Prisoner of Second Avenue,1975,The%20Prisoner%20of%20Second%20Avenue,ThePrisonerof2ndAve_pf,Courtesy of Photofest,Directed by,Melvin Frank,http://imdb.com/name/nm0291035/,Second Ave. and E. 87th St.<br>Upper East Side<br>Manhattan,40.7786,-73.9513,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0072034/,2nd Avenue at 87th Street,,Y,107,,Y
The Producers,1968,The%20Producers,TheProducers1_pf,Courtesy of Photofest,Directed by,Mel Brooks,http://imdb.com/name/nm0000316/,East 80's<br>Upper East Side<br>Manhattan,40.77708049,-73.9539206,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0063462/,Lincoln Center - Columbus Avenue & 61st Street,poor quality,Y,56,,Y
The Producers,1968,The%20Producers,TheProducers2_pf,Courtesy of Photofest,Directed by,Mel Brooks,http://imdb.com/name/nm0000316/,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77234375,-73.98341954,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0063462/,Lincoln Center - Columbus Avenue & 61st Street,poor quality,Y,56,,Y
The Producers,2005,The%20Producers,,,Directed by,Susan Stroman,http://imdb.com/name/nm0834893/,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77214875,-73.98319423,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0395251/,Lincoln Center Plaza,,Y,210,,N
The Professional,1994,The%20Professional,TheProfessional_ec,"Courtesy of Everett Collection, Inc.",Directed by,Luc Besson,http://imdb.com/name/nm0000108/,Manhattan,40.75421427,-73.96904826,Manhattan,Midtown,New York Moments,Film,http://imdb.com/title/tt0110413/,N/A,,Y,202,N,Y
The Royal Tenenbaums,2001,The%20Royal%20Tenenbaums,TheRoyalTenenbaums_pf,Courtesy of Photofest,Directed by,Wes Anderson,http://imdb.com/name/nm0027572/,Convent Ave. and 144th St.<br>Hamilton Heights<br>Manhattan,40.824,-73.9467,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0265666/,"Covent Avenue and 144th Street, Hamilton Heights",,Y,208,,Y
The Seven Year Itch,1955,The%20Seven%20Year%20Itch,TheSevenYearItch_pf,Courtesy of Photofest,Directed by,Billy Wilder,http://imdb.com/name/nm0000697/,Lexington Ave. between 51st St. and 52nd St.<br>Midtown<br>Manhattan,40.75744885,-73.97163928,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0048605/,Lexington Avenue between 51st and 52nd Streets,,Y,38-39,,Y
The Siege,1998,The%20Siege,TheSiege_pf,Courtesy of Photofest,Directed by,Edward Zwick,http://imdb.com/name/nm0001880/,Greenpoint<br>Brooklyn,40.73025075,-73.95436049,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0133952/,"Brooklyn Bridge, Greenpooint",,Y,184,,Y
The Sopranos,1999-2007,The%20Sopranos,,,Created by,"David Chase,(more)","http://imdb.com/name/nm0153740/,http://imdb.com/title/tt0141842/fullcredits#writers","Empire Stores Park<br>Brooklyn Bridge
",40.704089,-73.993617,Brooklyn,Brooklyn,N/A,TV,http://www.imdb.com/title/tt0141842/,F.A.O. Schwarz - 58th and Fifth Avenue,,Y,270-271,,N
The Squid and the Whale,2005,The%20Squid%20and%20the%20Whale,,,Directed by,Noah Baumbach,http://imdb.com/name/nm0000876/,Museum of Natural History<br>W. 79th St. and Central Park West<br>Manhattan,40.78099638,-73.97245467,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0367089/,Museum of natural History 81st and Central Park West,,Y,213,,N
The Taking of Pelham One Two Three,1974,The%20Taking%20of%20Pelham%20One%20Two%20Three,,,Directed by,Joseph Sargent,http://imdb.com/name/nm0765121/,Subway near Court St.<br>Brooklyn,40.69307721,-73.9907366,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0072251/,Subway near Court St.,Additional Image on p94 of the book,Y,66,,N
The Warriors,1979,The%20Warriors,TheWarriors_pf,Courtesy of Photofest,Directed by,Walter Hill,http://imdb.com/name/nm0001353/,Astroland<br>Coney Island <br>Brooklyn,40.57464417,-73.97885978,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0080120/,Coney Island boardwalk,poor quality,Y,136,,Y
The Warriors,1979,The%20Warriors,TheWarriors2_pf,Courtesy of Photofest,Directed by,Walter Hill,http://imdb.com/name/nm0001353/,Subway Car<br>Coney Island<br>Brooklyn,40.5757606,-73.98127377,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0080120/,Coney Island boardwalk,poor quality,Y,136,,Y
The Wiz,1978,The%20Wiz,,,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/,World Trade Center<br>Lower Manhattan,40.71092245,-74.01405036,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0078504/,World Trade Center,,Y,88,,N
The Wrong Man,1956,The%20Wrong%20Man,TheWrongMan_ec,"Courtesy of Everett Collection, Inc.",Directed by,Alfred Hitchcock,http://imdb.com/name/nm0000033/,Subway at 53rd St. and Fifth Ave.<br>Midtown<br>Manhattan,40.76050449,-73.97546411,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0051207/,Subway at 53rd Street and Fifth Avenue,,Y,42,,Y
Three Days of the Condor,1975,Three%20Days%20of%20the%20Condor,ThreeDaysoftheCondor_ec,"Courtesy of Everett Collection, Inc.",Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/,Riverside Drive<br>Upper West Side<br>Manhattan,40.81431267,-73.96185994,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0073802/,North of 124th Street and Riverside Drive,poor quality,Y,62,,Y
Times Square,1980,Times%20Square,TimesSquare2_pf,Courtesy of Photofest,Directed by,Allan Moyle,http://imdb.com/name/nm0610496/,W. 42nd St. between Seventh Ave. and Eighth Ave.<br>Times Square<br>Manhattan,40.75668492,-73.98842454,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0081635/,Times Square,poor quality,Y,236,,Y
Tootsie,1982,Tootsie,Tootsie_pf,Courtesy of Photofest,Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/,W. 42nd between Ninth Ave. and Tenth Ave.<br>Midtown<br>Manhattan,40.75918798,-73.99477601,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0084805/,42nd between 9th and 10th Aves,poor quality,Y,237,,Y
Two for the Seesaw,1962,Two%20for%20the%20Seesaw,,,Directed by,"Robert Wise
",http://imdb.com/name/nm0936404/,Brooklyn Bridge,40.705693,-73.99630487,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0056626/,Brooklyn Bridge,,N,,,N
Up the Down Staircase,1967,Up%20the%20Down%20Staircase,UpTheDownStaircase_pf,Courtesy of Photofest,Directed by,Robert Mulligan,http://imdb.com/name/nm0612322/,East Harlem (El Barrio)<br>Manhattan,40.79792464,-73.94221544,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0062425/,East Harlem (El Barrio),,Y,240,,Y
Up the Sandbox,1972,Up%20the%20Sandbox,UptheSandbox_pf,Courtesy of Photofest,Directed by,Irvin Kershner,http://imdb.com/name/nm0449984/,Carousel<br>Central Park<br>Manhattan,40.77056434,-73.97752404,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0069449/,Central Park,poor quality,Y,143,,Y
Up the Sandbox,1972,Up%20the%20Sandbox,UptheSandbox2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Irvin Kershner,http://imdb.com/name/nm0449984/,Riverside Park near W. 109th St.<br>Morningside Heights<br>Manhattan,40.805169,-73.96920919,Manhattan,Morningside Heights,N/A,Film,http://www.imdb.com/title/tt0069449/,Riverside Park,We have another photo,Y,221,,Y
Uptown Girls,2003,Uptown%20Girls,,,Directed by,Boaz Yakin,http://imdb.com/name/nm0945026/,Astroland<br>Coney Island <br>Brooklyn,40.57402483,-73.97888124,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0263757/,Coney Island,,Y,138-139,,N
Vanilla Sky,2001,Vanilla%20Sky,VanillaSky_pf,Courtesy of Photofest,Directed by,Cameron Crowe,http://imdb.com/name/nm0001081/,W. 45th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.75787145,-73.98539901,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0259711/,Times Square,slide,Y,185,,Y
Wall Street,1987,Wall%20Street,WallStreet1_pf,Courtesy of Photofest,Directed by,Oliver Stone,http://imdb.com/name/nm0000231/,New York Stock Exchange<br>Exchange Place<br>Lower Manhattan,40.70605086,-74.01056349,Manhattan,Lower Manhattan,New York Landmarks,Film,http://www.imdb.com/title/tt0094291/,New York Stock Exchange - Exchange place near broadway,,Y,169,,Y
Wall Street,1987,Wall%20Street,,,Directed by,Oliver Stone,http://imdb.com/name/nm0000231/,Broadway and Vesey St.,40.7114,-74.0086,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0094291/,Broadway and Vesey Street,,Y,164,,N
West Side Story,1961,West%20Side%20Story,WestSideStory_pf,Courtesy of Photofest,Directed by,"Robert Wise,Jerome Robbins","http://imdb.com/name/nm0936404/,http://imdb.com/name/nm0730385/",W. 68th St.<br>Upper West Side<br>Manhattan,40.77621929,-73.98391843,Manhattan,Upper West Side,N/A,Film,http://imdb.com/title/tt0055614/,West 68th Street,,Y,46-47,,Y
West Side Story,1961,West%20Side%20Story,WestSideStory2_pf,Courtesy of Photofest,Directed by,"Robert Wise,Jerome Robbins","http://imdb.com/name/nm0936404/,http://imdb.com/name/nm0730385/",W. 68th St.<br>Upper West Side<br>Manhattan,40.77651178,-73.98512006,Manhattan,Upper West Side,N/A,Film,http://imdb.com/title/tt0055614/,West 68th Street,,Y,46-47,,Y
When Harry Met Sally…,1989,When%20Harry%20Met%20Sally%85,WhenHarryMetSally9_pf,"Courtesy of Everett Collection, Inc.",Directed by,Rob Reiner,http://www.imdb.com/name/nm0001661/,Katz's Deli<br>205 E. Houston St.<br>Manhattan,40.722322,-73.987433,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0098635/,Katz's Deli - Houston Street at Ludlow St,,Y,166-167,,Y
When Harry Met Sally…,1989,When%20Harry%20Met%20Sally%85,WhenHarryMetSally9_pf,"Courtesy of Everett Collection, Inc.",Directed by,Rob Reiner,http://www.imdb.com/name/nm0001661/,Washington Square Park<br>West Village<br>Manhattan,40.73113694,-73.99718463,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0098635/,Washington Square Park,,Y,79,,N
Wolfen,1981,Wolfen,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/,World Trade Center<br>Lower Manhattan,40.71013359,-74.01267707,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0083336/,World Trade Center,,Y,189,,N
Wolfen,1981,Wolfen,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/,Manhattan Bridge,40.70823052,-73.99117649,Manhattan ,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0083336/,Manhattan Bridge,,Y,189,,N
Wolfen,1981,Wolfen,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/,Charlotte St.<br>The Bronx,40.83478796,-73.89212251,The Bronx,The Bronx,N/A,Film,http://www.imdb.com/title/tt0083336/,Charlotte Street near 172nd Street,,Y,127,,N
Working Girl,1988,Working%20Girl,WorkingGirl_pf,Courtesy of Photofest,Directed by,Mike Nichols,http://imdb.com/name/nm0001566/,Staten Island Ferry<br>New York Harbor,40.68233035,-74.03574944,Staten Island,Staten Island,N/A,Film,http://www.imdb.com/title/tt0096463/,Staten Island Ferry - crossing the upper bay,poor quality,Y,165,,Y
You're a Big Boy Now,1966,You%27re%20a%20Big%20Boy%20Now,YoureaBigBoyNow_pf,Courtesy of Photofest,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/,Steeplechase Park<br>Coney Island<br>Brooklyn,40.57472566,-73.98032963,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0061209/,"Steeplechase Park, Coney Island",poor quality,Y,68,,Y
You're a Big Boy Now,1966,You%27re%20a%20Big%20Boy%20Now,YoureaBigBoyNow2_pf,Courtesy of Photofest,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/,"New York Public Library<br>Fifth Ave. and 41st St.<br>Manhattan
",40.75286513,-73.98153663,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0061209/,"New York Public Library, Fifth ave bt 41st and 42nd",poor quality,Y,71,,Y
You've Got Mail,1998,You%27ve%20Got%20Mail,YouveGotMail1_pf,Courtesy of Photofest,Directed by,Nora Ephron,http://imdb.com/name/nm0001188/,Verdi Square<br>W. 73rd St.  & Broadway<br>Manhattan,40.77925782,-73.98153663,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0128853/,Verdi Square,,Y,223,,Y
You've Got Mail,1998,You%27ve%20Got%20Mail,YouveGotMail2_pf,Courtesy of Photofest,Directed by,Nora Ephron,http://imdb.com/name/nm0001188/,91st Street Community Garden<br>Riverside Park<br>Manhattan,40.79282387,-73.97741675,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0128853/,91st Street Community Garden,,Y,206,,Y